"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"FS02_5473","1","1","1","1","1","1","1","20180428","20180428"
"FS02_14609","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4941","1","1","1","1","1","1","1","20171210","20180609"
"FS02_4989","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5038","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5086","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5134","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5182","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5230","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5279","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5327","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5375","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5423","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13855","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5472","1","1","1","1","1","1","1","20180402","20180402"
"FS02_14538","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5474","1","1","1","1","1","1","1","20180501","20180501"
"FS02_5475","1","1","1","1","1","1","1","20180602","20180602"
"FS02_5476","1","1","1","1","1","1","1","20180603","20180603"
"FS02_5477","1","1","1","1","1","1","1","20180609","20180609"
"FS02_5505","1","1","1","1","1","1","1","20180331","20180331"
"FS02_5506","1","1","1","1","1","1","1","20180402","20180402"
"FS02_5507","1","1","1","1","1","1","1","20180428","20180428"
"FS02_5508","1","1","1","1","1","1","1","20180501","20180501"
"FS02_5509","1","1","1","1","1","1","1","20180602","20180602"
"FS02_5510","1","1","1","1","1","1","1","20180603","20180603"
"FS02_5511","1","1","1","1","1","1","1","20180609","20180609"
"FS02_5520","1","1","1","1","1","1","1","20180331","20180331"
"FS02_5521","1","1","1","1","1","1","1","20180402","20180402"
"FS02_5471","1","1","1","1","1","1","1","20180331","20180331"
"FS02_14226","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5882","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13905","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13919","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13940","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13959","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13979","1","1","1","1","1","1","1","20171210","20180609"
"FS02_13993","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14006","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14036","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14086","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14106","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14119","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14162","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14588","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14361","1","1","1","1","1","1","1","20171210","20180609"
