"route_id","agency_id","route_short_name","route_long_name","route_type","route_desc","route_color","route_text_color"
"CON_0002","CONTRAM",,"PORTORECANATI - VILLA POTENZA - MACERATA","3",,,
"CON_0003","CONTRAM",,"MACERATA - APPIGNANO - FILOTTRANO","3",,,
"CON_0005","CONTRAM",,"PORTORECANATI - LORETO - MACERATA","3",,,
"CON_0008","CONTRAM",,"LORETO - LORETO STAZIONE","3",,,
"CON_4000","CONTRAM",,"CAMERINO - ROMA","3",,,
"CON_4001","CONTRAM",,"MACERATA -  ANCONA","3",,,
"CON_4002","CONTRAM",,"MOGLIANO - CIVITANOVA MARCHE","3",,,
"CON_4004","CONTRAM",,"MACERATA - MORROVALLE SCALO - CIVITANOVA MARCHE","3",,,
"CON_4005","CONTRAM",,"CESSAPALOMBO - MACERATA","3",,,
"CON_4007","CONTRAM",,"GAGLIOLE - CASTELRAIMONDO","3",,,
"CON_4008","CONTRAM",,"MONTE SAN GIUSTO - SS78 COLBUCCARO","3",,,
"CON_4009","CONTRAM",,"BOLOGNOLA - CAMERINO","3",,,
"CON_4010","CONTRAM",,"CORRIDONIA - MACERATA","3",,,
"CON_4011","CONTRAM",,"FORCELLA  - SAN MARTINO - CAMERINO","3",,,
"CON_4012","CONTRAM",,"TERNI - VISSO - MACERATA","3",,,
"CON_4013","CONTRAM",,"MOGLIANO - CORRIDONIA","3",,,
"CON_4014","CONTRAM",,"CORRIDONIA - SAN CLAUDIO - SARROCCIANO","3",,,
"CON_4015","CONTRAM",,"CIVITANOVA MARCHE  - PERUGIA","3",,,
"CON_4016","CONTRAM",,"MACERATA - CAMERINO - FOLIGNO","3",,,
"CON_4017","CONTRAM",,"CAMERINO - CASTELRAIMONDO","3",,,
"CON_4018","CONTRAM",,"NEMI - CAMERINO","3",,,
"CON_4019_T","CONTRAM",,"VISSO - USSITA - CASTELSANT'ANGELO","3",,,
"CON_4020","CONTRAM",,"FABRIANO - FIUMINATA - CAMERINO","3",,,
"CON_4021","CONTRAM",,"FONTE BRESCIA - CASTELRAIMONDO - MACERATA","3",,,
"CON_4022","CONTRAM",,"VISSO - CAMERINO - FABRIANO","3",,,
"CON_5018","CONTRAM",,"URBANO CAMERINO","3",,,
"CON_5020","CONTRAM",,"SAN SEVERINO - SERRAPETRONA - TOLENTINO","3",,,
"CON_BNN/A","CONTRAM",,"ESANATOGLIA - MATELICA (YMC11E03)","3",,,
"CON_BNN/B","CONTRAM",,"CASTELRAIMONDO - MACERATA (YMC11E07)","3",,,
"CON_BNN/D","CONTRAM",,"ESANATOGLIA - ALBACINA - FABRIANO (YMC11E04)","3",,,
"CON_BNN/E","CONTRAM",,"ESANATOGLIA - COLLAMATO - FABRIANO (YMC11E02)","3",,,
"CON_BNN/F","CONTRAM",,"ESANATOGLIA - PALENTE - CAMERINO (YMC11E06)","3",,,
"CON_CRG/B","CONTRAM",,"CINGOLI - MOSCOSI - APIRO - CINGOLI (YMC09E02)","3",,,
"ATMA_1/3","ATMA","1/3","LINEA 1-3  P.ZZA IV NOVEMBRE - STAZIONE FS - POSATORA","3",,,
"CON_CRG/C","CONTRAM",,"CINGOLI - FILOTTRANO - CINGOLI (YMC09E04)","3",,,
"CON_CRG/D","CONTRAM",,"CINGOLI - JESI (YMC009E05)","3",,,
"CON_CRG/E","CONTRAM",,"CINGOLI - MACERATA (YMC09E06)","3",,,
"CON_CRG/F","CONTRAM",,"CINGOLI - SAN SEVERINO MARCHE (YMC09E07)","3",,,
"CON_CRL/B","CONTRAM",,"SARNANO - GUALDO - PASSO S.ANGELO (YMC01E02)","3",,,
"CON_FBRA","CONTRAM",,"FABRIANO ARANCIONE","3",,,
