"from_stop_id","to_stop_id","transfer_type"
"CON_10","CON_10","1"
"CON_100","CON_100","1"
"CON_1000","CON_1000","1"
"CON_10001","CON_10001","1"
"CON_10002","CON_10002","1"
"CON_10010","CON_10010","1"
"CON_10011","CON_10011","1"
"CON_101","CON_101","1"
"CON_10125","CON_10125","1"
"CON_10126","CON_10126","1"
"CON_102","CON_102","1"
"CON_10217","CON_10217","1"
"CON_10218","CON_10218","1"
"CON_10219","CON_10219","1"
"CON_1022#F","CON_1022#F","1"
"CON_10226","CON_10226","1"
"CON_1023","CON_1023","1"
"CON_1023#F","CON_1023#F","1"
"CON_1024#F","CON_1024#F","1"
"CON_1025#F","CON_1025#F","1"
"CON_1028#F","CON_1028#F","1"
"CON_103","CON_103","1"
"CON_1032#F","CON_1032#F","1"
"CON_1033#F","CON_1033#F","1"
"CON_1036#F","CON_1036#F","1"
"CON_1037#F","CON_1037#F","1"
"CON_1038#F","CON_1038#F","1"
"CON_10381","CON_10381","1"
"CON_1039#F","CON_1039#F","1"
"CON_104","CON_104","1"
"CON_1044#F","CON_1044#F","1"
"CON_1045#F","CON_1045#F","1"
"CON_1046","CON_1046","1"
"CON_1049","CON_1049","1"
"CON_105","CON_105","1"
"CON_1050","CON_1050","1"
"CON_1051","CON_1051","1"
"CON_1052","CON_1052","1"
"CON_105272","CON_105272","1"
"CON_105273","CON_105273","1"
"CON_1054#F","CON_1054#F","1"
"CON_1055#F","CON_1055#F","1"
"CON_1056#F","CON_1056#F","1"
"CON_1057#F","CON_1057#F","1"
"CON_10572","CON_10572","1"
"CON_10573","CON_10573","1"
"CON_10579","CON_10579","1"
"CON_1058#F","CON_1058#F","1"
"CON_10580","CON_10580","1"
"CON_10581","CON_10581","1"
"CON_10582","CON_10582","1"
"CON_10585","CON_10585","1"
"CON_10587","CON_10587","1"
"CON_10589","CON_10589","1"
"CON_1059#F","CON_1059#F","1"
"CON_10591","CON_10591","1"
"CON_10592","CON_10592","1"
"CON_10597","CON_10597","1"
"CON_10598","CON_10598","1"
"CON_10599","CON_10599","1"
"CON_106","CON_106","1"
"CON_1060#F","CON_1060#F","1"
"CON_10600","CON_10600","1"
"CON_10603","CON_10603","1"
"CON_10604","CON_10604","1"
"ADR_B020","ADR_B020","2"
"ADR_BACCEL","ADR_BACCEL","2"
"ADR_CORRID","ADR_CORRID","2"
"ADR_F000","ADR_F000","2"
"ADR_F010","ADR_F010","2"
"ADR_F011","ADR_F011","2"
"ADR_F020","ADR_F020","2"
"ADR_F021","ADR_F021","2"
"ADR_F100","ADR_F100","2"
"ADR_F1004","ADR_F1004","2"
"ADR_F101","ADR_F101","2"
"ADR_F1011","ADR_F1011","2"
"CON_1061#F","CON_1061#F","1"
"CON_10616","CON_10616","1"
"CON_10617","CON_10617","1"
"CON_1062","CON_1062","1"
"CON_10620","CON_10620","1"
"CON_10621","CON_10621","1"
"CON_10622","CON_10622","1"
"CON_10623","CON_10623","1"
"CON_10624","CON_10624","1"
"CON_10625","CON_10625","1"
"CON_10628","CON_10628","1"
"CON_10630","CON_10630","1"
"CON_10631","CON_10631","1"
"CON_10633","CON_10633","1"
"CON_1066","CON_1066","1"
"CON_107","CON_107","1"
"CON_1070#F","CON_1070#F","1"
"CON_1071#F","CON_1071#F","1"
"CON_10710","CON_10710","1"
"CON_10711","CON_10711","1"
"CON_10712","CON_10712","1"
"CON_10713","CON_10713","1"
"CON_10716","CON_10716","1"
"CON_10717","CON_10717","1"
"CON_10719","CON_10719","1"
"CON_1072#F","CON_1072#F","1"
"CON_10720","CON_10720","1"
"CON_10721","CON_10721","1"
"CON_10722","CON_10722","1"
"CON_10725","CON_10725","1"
"CON_10726","CON_10726","1"
"CON_10729","CON_10729","1"
"CON_1073#F","CON_1073#F","1"
"CON_10730","CON_10730","1"
"CON_10733","CON_10733","1"
"CON_10734","CON_10734","1"
"CON_10735","CON_10735","1"
"CON_10736","CON_10736","1"
"CON_10737","CON_10737","1"
"CON_10738","CON_10738","1"
"CON_10739","CON_10739","1"
"CON_10740","CON_10740","1"
"CON_10744","CON_10744","1"
"CON_10745","CON_10745","1"
"CON_108","CON_108","1"
"CON_10814","CON_10814","1"
"CON_10815","CON_10815","1"
"CON_10818","CON_10818","1"
"CON_10819","CON_10819","1"
"CON_10822","CON_10822","1"
"CON_10824","CON_10824","1"
"CON_10825","CON_10825","1"
"CON_10826","CON_10826","1"
"CON_10827","CON_10827","1"
"CON_10828","CON_10828","1"
"CON_10829","CON_10829","1"
"CON_10831","CON_10831","1"
"CON_10832","CON_10832","1"
"CON_10833","CON_10833","1"
"CON_10856","CON_10856","1"
"CON_10885","CON_10885","1"
"CON_10888","CON_10888","1"
"ADR_F1012","ADR_F1012","2"
"ADR_F1013","ADR_F1013","2"
"ADR_F1014","ADR_F1014","2"
"ADR_F1015","ADR_F1015","2"
"ADR_F1016","ADR_F1016","2"
"ADR_F1017","ADR_F1017","2"
"ADR_F1018","ADR_F1018","2"
"ADR_F1019","ADR_F1019","2"
"ADR_F102","ADR_F102","2"
"ADR_F1020","ADR_F1020","2"
"ADR_F1021","ADR_F1021","2"
"ADR_F1022","ADR_F1022","2"
"ADR_F1023","ADR_F1023","2"
"ADR_F1024","ADR_F1024","2"
"CON_10893","CON_10893","1"
"CON_10895","CON_10895","1"
"CON_10896","CON_10896","1"
"CON_10897","CON_10897","1"
"CON_10898","CON_10898","1"
"CON_109","CON_109","1"
"CON_10900","CON_10900","1"
"CON_10909","CON_10909","1"
"CON_10917","CON_10917","1"
"CON_10918","CON_10918","1"
"CON_10921","CON_10921","1"
"CON_10922","CON_10922","1"
"CON_10924","CON_10924","1"
"CON_10932","CON_10932","1"
"CON_10933","CON_10933","1"
"CON_10934","CON_10934","1"
"CON_10935","CON_10935","1"
"CON_10936","CON_10936","1"
"CON_10937","CON_10937","1"
"CON_10938","CON_10938","1"
"ADR_F1025","ADR_F1025","2"
"ADR_F1026","ADR_F1026","2"
"ADR_F1027","ADR_F1027","2"
"ADR_F1028","ADR_F1028","2"
"ADR_F1029","ADR_F1029","2"
"ADR_F103","ADR_F103","2"
"ADR_F1033","ADR_F1033","2"
"ADR_F1034","ADR_F1034","2"
"ADR_F1036","ADR_F1036","2"
"ADR_F1037","ADR_F1037","2"
"ADR_F1038","ADR_F1038","2"
"ADR_F1039","ADR_F1039","2"
"ADR_F104","ADR_F104","2"
"ADR_F1040","ADR_F1040","2"
"ADR_F1041","ADR_F1041","2"
"ADR_F1042","ADR_F1042","2"
"ADR_F1044","ADR_F1044","2"
"ADR_F1045","ADR_F1045","2"
"ADR_F105","ADR_F105","2"
"ADR_F1055","ADR_F1055","2"
"ADR_F106","ADR_F106","2"
"ADR_F107","ADR_F107","2"
"ADR_F108","ADR_F108","2"
"ADR_F109","ADR_F109","2"
"ADR_F110","ADR_F110","2"
"ADR_F111","ADR_F111","2"
"ADR_F112","ADR_F112","2"
"ADR_F113","ADR_F113","2"
"ADR_F114","ADR_F114","2"
"ADR_F115","ADR_F115","2"
"ADR_F116","ADR_F116","2"
"ADR_F118","ADR_F118","2"
"ADR_F119","ADR_F119","2"
"ADR_F120","ADR_F120","2"
"ADR_F121","ADR_F121","2"
"ADR_F122","ADR_F122","2"
"ADR_F123","ADR_F123","2"
"ADR_F124","ADR_F124","2"
"ADR_F125","ADR_F125","2"
"ADR_F126","ADR_F126","2"
"ADR_F127","ADR_F127","2"
"ADR_F146","ADR_F146","2"
"ADR_F147","ADR_F147","2"
"ADR_F148","ADR_F148","2"
"ADR_F149","ADR_F149","2"
"ADR_F150","ADR_F150","2"
"ADR_F151","ADR_F151","2"
"ADR_F152","ADR_F152","2"
"ADR_F153","ADR_F153","2"
"ADR_F154","ADR_F154","2"
"ADR_F155","ADR_F155","2"
"ADR_F156","ADR_F156","2"
"ADR_F158","ADR_F158","2"
"ADR_F159","ADR_F159","2"
"ADR_F160","ADR_F160","2"
"ADR_F161","ADR_F161","2"
"ADR_F162","ADR_F162","2"
"ADR_F163","ADR_F163","2"
"CON_10939","CON_10939","1"
"CON_10940","CON_10940","1"
"CON_10941","CON_10941","1"
"CON_10944","CON_10944","1"
"CON_10945","CON_10945","1"
"CON_10953","CON_10953","1"
"CON_10955","CON_10955","1"
"CON_10958","CON_10958","1"
"CON_10959","CON_10959","1"
"CON_110","CON_110","1"
"ADR_F164","ADR_F164","2"
"ADR_F165","ADR_F165","2"
"ADR_F166","ADR_F166","2"
"ADR_F167","ADR_F167","2"
"ADR_F168","ADR_F168","2"
"ADR_F169","ADR_F169","2"
"ADR_F170","ADR_F170","2"
"ADR_F171","ADR_F171","2"
"ADR_F172","ADR_F172","2"
"ADR_F173","ADR_F173","2"
"ADR_F175","ADR_F175","2"
"ADR_F176","ADR_F176","2"
"ADR_F177","ADR_F177","2"
"ADR_F200","ADR_F200","2"
"ADR_F212","ADR_F212","2"
"ADR_F213","ADR_F213","2"
"ADR_F214","ADR_F214","2"
"ADR_F215","ADR_F215","2"
"ADR_F216","ADR_F216","2"
"ADR_F217","ADR_F217","2"
"ADR_F218","ADR_F218","2"
"ADR_F219","ADR_F219","2"
"ADR_F240","ADR_F240","2"
"ADR_F241","ADR_F241","2"
"ADR_F242","ADR_F242","2"
"ADR_F243","ADR_F243","2"
"ADR_F244","ADR_F244","2"
"ADR_F245","ADR_F245","2"
"ADR_F246","ADR_F246","2"
"ADR_F247","ADR_F247","2"
"ADR_F248","ADR_F248","2"
"ADR_F249","ADR_F249","2"
"ADR_F251","ADR_F251","2"
"ADR_F252","ADR_F252","2"
"ADR_F253","ADR_F253","2"
"ADR_F256","ADR_F256","2"
"ADR_F257","ADR_F257","2"
"ADR_F258","ADR_F258","2"
"ADR_F259","ADR_F259","2"
"ADR_F263","ADR_F263","2"
"ADR_F264","ADR_F264","2"
"ADR_F266","ADR_F266","2"
"ADR_F267","ADR_F267","2"
"ADR_F268","ADR_F268","2"
"ADR_F305","ADR_F305","2"
"ADR_F306","ADR_F306","2"
"ADR_F307","ADR_F307","2"
